简体中文,翻译结果
亮度,Brightness
显示,Display
拍照,Take pictures
切换,Switch
点击屏幕任意位置显示猫灵,Click on any part of the screen to display the Cat Spirit.
切镜,Cutout
分享,Share
保存本地,Save locally
关  闭,Closed
旅行,Traveling
猫灵,Cat Spirit
特产,Specialties
资产,Assets
背包[1/99],Backpack [1/99]
整  理,Organizing
小猫,Little kitten
角色名字七个字,The names of the characters are seven characters long.
角色名字去去去,The names of the characters should be removed.
合影中,In the group photo…
我的故事,
发表一次分享并获得一次好友点赞,
前往,
领取,
剩余10次,
陪伴,
旅行步数：,
冷淡,
距离下一时间好感度：11,
当前暂无动态,
名字七个字,
聊天信息 (,
旅行，是人们多么喜欢的字眼，它能够使你中断每一天周而复始的凡人琐事，对平凡俗气的生活，是一种暂时的解脱,
名字,
3天前,
关注,
删除,
名字名字,
宅男爱喝冰阔落,
添加关注,
名字最多七个字,
名字名字名字：21312312312312312312312312312名字名字名字：2131,
名字名字名字：2名字名字名字：2名字名字名字：2名字名字名字：2名字名字名字：2名字名字名字：2名字名字名字：2,
发布,
发布分享,
最多可输入60字,
表情,
"发送
",
搜索好友,
新的粉丝,
我的消息,
点赞奖励,
累计点赞数:,
步数奖励,
可用步数：23345,
个人姓名七个字,
粉丝,
回复了你,
漫画小剧场,
菲利斯,
玩家名字嘻嘻,
回复了,
查看更多>>,
《诗经·秦风》,
走了哟,
角色名字,
选 择,
225万,
文本,
九折,
已陪伴,
名字有紫格子,
步数,
步,
陪伴旅行,
任务,
任务在每天0点重置,
xxx旅行归来啦~,
xxx旅行归来啦~xxx旅行归,
x月x日 x月x日,
能 力,
能力,
信 息,
名字 ：,
喜好 ：,
喜好喜好喜好喜好喜好喜好喜好喜好喜好喜好喜好喜好喜好喜好喜好,
喜好,
回忆,
取 消,
玩家名字,
2017年11月11日 00：00：00,
（陌生人）,
发送,
请输入文字内容,
复制,
发信人,
收件人,
粘贴,
猫粮,
重复获得的猫灵会转化为回忆碎片,
确定,
"1.完成每个角色的剧情事件后可以获得好感度奖励
2.在与猫娘的相处中，每天都有可能触发随机事件，
完美的解决随机事件会提高角色的好感度",
剧情奖励,
当前没有粉丝哦,
来,
这里,
关注有意思的人,
喂食,
宝宝最少要吃200份啊！,
投入的猫粮,
总计投入,
最小投入量,
手上的猫粮,
喂  食,
玩家名字七个字,
选项最多输入十八个字,
今日步数：,
"小姐姐, 求跳个宅舞小姐姐小姐姐, 求跳个宅舞",
肥宅爱喝冰阔落,
评论了你的分享,
请输入分享内容...,
推荐,
从手机相册选择,
取消,
至少要分享一张图片！,
赞,
请输入玩家ID,
刷新,
该玩家不存在,
(喝点冰阔落，重新输入),
编辑,
玩家姓名,
更换头像,
女,
男,
个性签名,
保存,
野百合也有春天,
我的世界是一把98K,
发送消息,
准备行李,
便当,
护符,
旅具1,
旅具2,
取消准备,
菲利斯旅行回来了！,
2星以上才可以获得猫娘~,
本喵叫：,
尼古拉斯凯奇,
明信片,
猫灵名称,
好感度+,
宝宝忘记带伴手礼啦,
3星以上猫灵旅行才会带回口粮,
巧克力到哪里，此猫就会跟到哪里…阿萨德盛大盛世嫡妃士大夫盛大发送到发送到发送到防守打法盛大发送到发送到发送到阿萨德,
获得猫娘XXX,
陪  伴,
喜好：,
上下翻滚吧- 口-,
不会旅行,
"选择出去旅行的猫灵
旅行结束后会带回新的猫猫",
旅行可带回,
"出去旅行啦~❤出
去旅行啦~❤",
猫娘名字,
返回,
猫,
玉商店,
刷新时间：,
加载中...,
提升解锁,
音乐,
低,
高,
音效,
陀螺仪,
流畅,
清晰,
极致,
改名,
一键解锁所有功能,
系统设置,
游戏设置,
啊啊啊啊啊啊啊,
每日走路步数可用于陪伴猫娘旅行，提高猫娘好感度，请多多走路收集呦,
当前可陪伴猫娘旅行,
 步,
无名,
可提高猫娘好感度,
好感度来源,
一键领取,
每日0点次数重置,
触发了新的剧情哦！！,
 <c=F83F79FF>触</c>发了新的事件,
菲利斯的回忆,
兑换商城,
收,
我胖我不胖你胖,
剩余点赞币,
总计点赞币,
累计点赞数,
今日已领取点卷：0/20,
可领取点赞数：,
角色名字紫格子,
等,
人点赞了你的,
评论在这里显示按时大大按时阿萨德阿阿萨德撒的,
是否进行快速孵化?需要花费,
当前加速时间已经变化，需要,
确认加速？,
玩家新明六字,
功能,
开放了！,
猫灵的漫画小剧场,
留下你的名字，开启你的命运之路,
请输入名字,
少年，说出你的名字,
更新提示,
小提示：游戏有新内容更新,
游戏有新的内容，点击确定开始更新,
转到下载界面,
更新进度：17%,
"ProjectNeko
启动
",
登录游戏,
输入account,
输入ip,
"输入port
",
欢迎回来,
"更换账号
",
玩家名称,
公告,
版本1.0.0,
关闭,
欢迎来到命运之路，对对对对的欢迎来到命运之路，对对对对迎来到命运之路，对对对对欢迎来到命运之路，对  对对对的欢迎来到 命运之路，对对对对迎来到命运 之路，对对对对欢迎来到命运之路，对对对 对的欢迎来到命运之路，对对对对迎来到  命运之路，对对对对欢迎来到 命运之路，对对对对的欢迎来 到命运之路，对对对对迎来到命运之路，对对对对 ,
第1章,
卡莉斯塔,
第一话,
文本信息,
XXXX的回忆,
任,
天堂,
对你的好感度提升了,
普通,
网络连接异常，请重新登录！,
提示,
重新登录,
多次重新连接失败，是否重试,
重新连接,
返回登录,
"正在重连中
",
名,
高级便当,
分享人气榜一阶,
已触发的组合,
排名奖励详情,
每周日0点重置排名，通过邮件发送奖励,
点赞排名,
深海天柱排名永不重置,
无排名,
别拉了...设计师说只有前100名才有炫耀的机会！,
一阶人气,
奖励详情,
当前最高赞分享,
分享大概一共也许可能这些！,
下一阶段需要点赞数：,
您还没有进入榜单，发表分享收获点赞即可进入人气榜,
酒中三位：,
满足度+200，好感度道具出现几率提高,
酒中三位 :,
一键供奉,
"大嘴最喜欢各地的特产
你可以把特产喂给大嘴
大嘴会送你有意思的东西
喂得越多，成功率越高哦",
玩法说明,
奖励一览,
好感度,
猫币,
猫玉,
随机护身符,
特定的几个特产一起供奉时会触发特产组合效果，提高供奉的成功率和道具的获得几率,
组合示例 : 海贼王,
"您当前没有可触发的特产组合
让猫灵多多旅行可以获得多种特产",
不可供奉,
可供俸,
规则说明,
组合一览,
物品名称水,
全部,
高级,
中级,
低级,
旅行获得特产后可以在这里进行供奉,
商店,
名字大概七个字,
流畅模式,
选择演出曲目,
里表Lovers,
学猫叫,
爱的密语 (愛言葉),
猫耳开关,
用户名,
收录新CG,
豪华便当,
稀有度：,
类型：,
类型,
说明,
详情,
详情说明,
使用说明,
提    示,
取  消,
确  定,
您的金币数量不足，还需要xxxx,
是否话费xxxx,
进行对换,
您的,
"数量不足，是否前往充值？
",
提前看下一批货是要加价的哦，,
不算贵吧,
四字按钮,
来自澳大利亚的明信片,
分享可得9999金币,
提 示,
弹出框标题,
50分,
  收集：,
点赞排名奖励,
小  猫,
角色ID,
照片ID,
生成照片,
生成单张照片：,
生成多张照片：,
CG上传到网盘,
生成CG,
隐藏,
神  社,
猫  屋,
按钮,
朋友圈,
合  影,
陪伴：,
新事件,
徐老板我们来改UI吧，这个字科学啊,
猫灵旅行时发回的照片保存后就会存在相册啦,
相册,
完成不同的剧情可以收集到各式各样的cg图哦,
今日累计步数： 0,
可陪伴猫娘旅行,
累积陪伴猫娘旅行,
累积步数,
角,
色名字七个字的相册,
角色名字七个字从AAAA发回来的照片,
保存手机,
分  享,
尼古拉斯不要脸,
我还想谁啊,
我的名字是...,
恭喜获得,
存档失败 请稍后重试,
"“时间薄荷”已经耗尽，无法继续游戏

每两个小时会自动恢复一个“时间薄荷”

请届时再来<Shake>o(TヘTo)</Shake>",
保存成功,
保存失败：,
存档拉取失败:,
剩余数量不够,
物品不够啊,
有奇蛋寄了…,
居民的聚会开始了,
已经收集齐全部猫灵了,
背包塞不下了,
已经吃不下了,
建造队列不够,
请重新登录,
道具不够…,
库存已满…,
太远点不到呀,
配方尚未解锁,
暂时找不到该资源,
在恰饭，等一下,
还没有准备好,
需要派遣$P1名居民,
<swing>$P1变成居民了</swing>,
研究完成啦,
$P1对$P2的关系变好了,
$P1对$P2的关系变差了,
睡觉中,
觅食中,
居民已拥有该时装,
什么都没有发生…,
"各位《奇蛋生物》的元老们，来自遥远的上古时代的猫灵粉丝们，大家好！
经过了长达接近一年的挣扎，我们又活了过来，带着船新的奇蛋们和大家再次见面。大家可以加入QQ群(599413512)获得更多的福利。
我们即将开启新和Taptap测试，具体如下：
## 测试信息
- 测试时间：2025年2月19日上午10:00 - 3月5日上午12:00
- 测试形式：付费删档测试
- 测试资格：先到先得，抢完为止
- 测试平台：仅限安卓
- 充值返利：本次测试开启付费，付费充值的金额将在公测时以【充值金额 x 300灵果】的额度（即3倍充值）进行返还。注意，本次测试中双周刊的订阅，仅按充值金额折算灵果返还，不会在公测返还为月卡。注意公测和本次测试用同一登录方式登录才能获得返利。同时，无论充值金额多少，都会在公测时获得装饰品礼包【奇蛋贡献者礼包】。",
已复制到剪贴板,
设置成功,
******,
输入密码,
产品在$P1后成熟,
年,
月,
日,
时,
分,
秒,
天,
灵果,
小时,
抓,
吸,
丢,
物品已经变化,
猫蛋,
猫娘,
放置,
解锁地图,
查看,
<Shake>压力过大!</Shake>,
<Shake>压力有点大</Shake>,
交易成功,
交易失败,
下班了,
<Shake>罢工了！</Shake>,
请先清空货架物品,
请设置价格,
不得低于最低价,
无需降压,
请等待居民离开后执行,
工作人数,
$P1学习了$P2，$P3提升了$P4,
素材够了,
把建筑<color=#FF8383>放在地上</color>就行,
等待猫灵就位,
海马休假中，请前往【压力马斯内】查看,
货币不足,
的人际关系,
无感,
仇恨,
厌烦,
冷漠,
平淡,
友好,
亲昵,
挚爱,
钓鱼,
学习,
单次订阅时长$P1天,
订阅剩余$P1天,
尚未订阅,
请先保存装扮,
休息,
报名人数,
老大你离开了：,
压力降低了：,
名字长度超过最大限制,
名字中含有敏感词汇,
更改名称成功,
压力过高，无法开工,
"因为奇蛋夜晚的聚会
降低了$P1压力",
"因为使用降压饼
降低了$P1压力",
"因为对奇蛋们进行了饮料PUA
降低了$P1压力
",
"工作就会有压力，造维生素产生额外压力
过去一天增加了$P1压力
",
产生压力：$P1,
压力+$P1,
消耗电力:$P1,
当前所有奇蛋都在休假中，请前往【压力马斯内】查看,
$P1-每日奖励,
第$P1名,
$P1~$P2名,
需要先进行制造,
权限已变更,
暂无权限,
"冷却中,请稍后再试",
"脱离卡死后将传送回出生点,是否执行",
农产品$P1后枯萎,
农产品待收取,
学堂人数已满,
http://qqun.oc.mobixinxi.cn,
更高级道路还没有解锁哦,
更高级浮桥还没有解锁哦,
第$P1天,
放下建筑,
该位置无法放置,
利息:$P1%,
修复,
前往分解,
免费挑战次数 {0}/{1},
继续挑战花费,
<color=red>今日挑战机会用完</color>,
