role_id,名字,WAV_NAME,Voice ID,文本1,文本2
1,奈芙,fuhua_shizhilvzhe.wav,cosyvoice-v3.5-plus-fuhuashizh-6a033be3e0474084a5e8aef439821e94,,
2,理切尔卡,youlandaier_tianyuanqiying.wav,cosyvoice-v3.5-plus-youlandaie-f52eb57e498142ac906203ff2018c693,,
3,莫奈,kaluoeryuyin.wav,cosyvoice-v3.5-plus-kaluoer-928bfd58a7f948c2a0eca2e1d1f5c507,,
4,巧,buluoniya_cishengyinyi.wav,cosyvoice-v3.5-plus-buluoniyac-d572f315e1154bfcbd1d904fb940761e,,
5,伊斯卡莉,yidianyuyin.wav,cosyvoice-v3.5-plus-yidian-63f38ad36874444e981cd2073f677c81,,
6,留露拉,buluoniya_cishengyinyi.wav,cosyvoice-v3.5-plus-buluoniyac-d572f315e1154bfcbd1d904fb940761e,,
7,神乐,ningguang.wav,cosyvoice-v3.5-plus-ningguang-d10d34b6ba2d4cc485527dafb356a961,,
8,葵,keqing.wav,cosyvoice-v3.5-plus-keqing-7f72bcd5b63e4a0aaa2fec8dcfa1fe9f,,
9,真白,lisha.wav,cosyvoice-v3.5-plus-lisha-29c3dcae96ee40e3a6c867be69e9de3c,,
10,诗织,lita_liaoluanxingji.wav,cosyvoice-v3.5-plus-litaliaolu-88d7242c154b42ebaae6d93d15c7b32d,,
11,希子,xinyan.wav,cosyvoice-v3.5-plus-xinyan-f5687426a776430595f9d2d5827b069c,,
12,嘉普兰,aboniyayuyin.wav,cosyvoice-v3.5-plus-aboniya-ad3e39ded207455ead6af4840de622bd,,
13,卷卷,weierweiyuyin.wav,cosyvoice-v3.5-plus-weierwei-aec3a6a934e743d48d18f2c037413931,,
14,宁宁,paduofeilisiyuyin.wav,cosyvoice-v3.5-plus-paduofeili-c03844e49682462d9a34b9ec69f50a07,,
15,星珋,ganyu.wav,cosyvoice-v3.5-plus-ganyu-d85e56b18a664527bcf8e1d9eb6f0cad,,
16,娜塔莉亚,jiutiaoshaluo.wav,cosyvoice-v3.5-plus-jiutiaosha-ab451e02a774456abdbb7383b1c83b62,,
17,真桃,kaifangshijiegenban_paimeng.wav,cosyvoice-v3.5-plus-kaifangshi-4a35b452aa1b41d9bb074091b9ad388a,,
18,加奈,feixieeryuyin.wav,cosyvoice-v3.5-plus-feixieer-867d3c0a479042b4a8698461612f3066,,
19,布丁,qiqi.wav,cosyvoice-v3.5-plus-qiqi-47c5cf272d9c47dd99a32fb2c607b08b,,
20,琉璃,hutao.wav,cosyvoice-v3.5-plus-hutao-d5e34076acc549f9ba75063e163409be,,
21,由千玖星,hutao.wav,cosyvoice-v3.5-plus-hutao-d5e34076acc549f9ba75063e163409be,,
22,千秋,hutao.wav,cosyvoice-v3.5-plus-hutao-d5e34076acc549f9ba75063e163409be,,
23,艾莉莎,youla.wav,cosyvoice-v3.5-plus-youla-b22f1e15d5ff4322984484998e4ec961,,
24,糯欣,youla.wav,cosyvoice-v3.5-plus-youla-b22f1e15d5ff4322984484998e4ec961,,
25,栗子,qiyana_xinyanzhilvzhe.wav,cosyvoice-v3.5-plus-qiyanaxiny-fe9ff9b3c0a648fa91582b34b25b0f42,,
26,菲利斯,ying.wav,cosyvoice-v3.5-plus-ying-5e3bdc97fd634f008d2b444f6905e02b,,
27,巧乐斯MK2,ying.wav,cosyvoice-v3.5-plus-ying-5e3bdc97fd634f008d2b444f6905e02b,,
28,三六,ying.wav,cosyvoice-v3.5-plus-ying-5e3bdc97fd634f008d2b444f6905e02b,,
29,雪奈,geleixiuyuyin.wav,cosyvoice-v3.5-plus-geleixiu-94e4a02df2e14f0293201151173bc4e4,,
30,灵,geleixiuyuyin.wav,cosyvoice-v3.5-plus-geleixiu-94e4a02df2e14f0293201151173bc4e4,,
31,薄荷,geleixiuyuyin.wav,cosyvoice-v3.5-plus-geleixiu-94e4a02df2e14f0293201151173bc4e4,,
32,钥,meibiwusiyuyin.wav,cosyvoice-v3.5-plus-meibiwusi-80d3063d1baa4bc4a4a925aac037f64a,,
33,奥菈托丽奥,leidianjiangjun.wav,cosyvoice-v3.5-plus-leidianjia-a162696bcf384e9dae45eb2fe838a4b3,,
34,康塔塔,shenlilinghua.wav,cosyvoice-v3.5-plus-shenliling-eead85b68c8947e2a6a612e8e1d1ca4b,,
35,芸兰,shenlilinghua.wav,cosyvoice-v3.5-plus-shenliling-eead85b68c8947e2a6a612e8e1d1ca4b,,
20001,甜菜岛商店,ailixiyayuyin.wav,cosyvoice-v3.5-plus-ailixiya-2f9233117c164740b7f828cd76d203ca,嗨，欢迎光临本店，一定要买点什么再走哟！,有来了呀，一定是想我了吧！
20002,树岛商店,duyayuyin.wav,cosyvoice-v3.5-plus-duya-235a2f504ea84d7ea2f9fe7a31c69b11,本店物美价廉，童叟无欺。,走过路过不要错过啊。
20003,石岛商店,zaoyou.wav,cosyvoice-v3.5-plus-zaoyou-0319fe25e1734830853c5811625dd2f7,快点看，快点卖,又有客人来了吗？
20004,大月卡商店,youla.wav,cosyvoice-v3.5-plus-youla-b22f1e15d5ff4322984484998e4ec961,尊贵的订阅服务客人你好！,很高兴又能为您服务。
